Entity,Code,Year,Schizophrenia disorders (share of population) - Sex: Both - Age: Age-standardized,Depressive disorders (share of population) - Sex: Both - Age: Age-standardized,Anxiety disorders (share of population) - Sex: Both - Age: Age-standardized,Bipolar disorders (share of population) - Sex: Both - Age: Age-standardized,Eating disorders (share of population) - Sex: Both - Age: Age-standardized,Cluster
0.0,0.0,2011-2015,0.10801825286918276,0.5588730142249463,0.43192581614763104,0.39078178151500675,0.06962606866241339,0
0.0,0.0,2011-2015,0.10908674220608905,0.5588943090057554,0.43448273632967316,0.39087075090055756,0.07125441108918393,0
0.0,0.0,2016-2020,0.10901017877068797,0.5576389784109788,0.43523791404300205,0.39088788971424704,0.07278916018239137,0
0.0,0.0,2016-2020,0.1086232684649171,0.5566368989364401,0.4353958469169641,0.39089086315880606,0.07330307845332806,0
0.0,0.0,2016-2020,0.10817382830808586,0.5574868121781715,0.43707565548073324,0.3909028625924328,0.07386590706346327,0
0.0,0.0,2016-2020,0.10730356334999347,0.5589610348296716,0.44050375664364827,0.3909080698938179,0.07359721431026303,0
0.004694835680751174,1.0,1990-1995,0.11369915013855791,0.5030520450648512,0.26937586683678894,0.32101136901809935,0.06712590627897266,0
0.004694835680751174,1.0,1990-1995,0.11381470793461412,0.5022739037262307,0.2691648399315034,0.3210588837565358,0.06651531231997021,0
0.004694835680751174,1.0,1990-1995,0.11388772642813738,0.5014528788796306,0.2689281481928695,0.3210869880903886,0.06592746617772782,0
0.004694835680751174,1.0,1990-1995,0.11390230819936653,0.5007269946718305,0.26867284907939304,0.32109171994251684,0.06538036750556064,0
0.004694835680751174,1.0,1990-1995,0.1138031960099597,0.5003505800263905,0.2683789563430361,0.32105249915222867,0.0648819380153364,0
0.004694835680751174,1.0,1990-1995,0.11364495272820008,0.5002811760245198,0.2680569968651836,0.32098115157643803,0.06447649997880198,0
0.004694835680751174,1.0,1996-2000,0.11332941635528737,0.5014705973130493,0.2669534979907593,0.3209142415270452,0.06411208907369803,0
0.004694835680751174,1.0,1996-2000,0.11283992200981685,0.5040921416020618,0.2647463519759756,0.32085484810399967,0.06379465722321603,0
0.004694835680751174,1.0,1996-2000,0.11232437051425526,0.5070607222307812,0.26218327875763103,0.3207948811231205,0.0635225153133008,0
0.004694835680751174,1.0,1996-2000,0.1119161905572178,0.5094979784818854,0.2600139998626464,0.3207333896858936,0.06335753031267921,0
0.004694835680751174,1.0,1996-2000,0.11175312323084108,0.510208071237966,0.258957857127861,0.3206656494870046,0.06332797334987786,0
0.004694835680751174,1.0,2001-2005,0.11206061952939184,0.5097020752384454,0.2585265218697591,0.32058459670892214,0.06358729846094241,0
0.004694835680751174,1.0,2001-2005,0.11280447259103932,0.508821215977056,0.25782845619459227,0.3204900351344926,0.06407126459542353,0
0.004694835680751174,1.0,2001-2005,0.11372363581956924,0.5078446608448521,0.25706528694736686,0.3203936623247986,0.06478804880816552,0
0.004694835680751174,1.0,2001-2005,0.11455015546397429,0.506830023328563,0.256420478396052,0.3202972366874095,0.06557535631919256,0
0.004694835680751174,1.0,2001-2005,0.114999961078731,0.5058454173321423,0.25603719612748355,0.320189143676192,0.06630694434497975,0
0.004694835680751174,1.0,2006-2010,0.11508025218497242,0.5037888379487103,0.2571381448278258,0.3200698285531489,0.06705325005622079,0
0.004694835680751174,1.0,2006-2010,0.11504326784290764,0.4999895159131292,0.26004452781866294,0.31993360856763786,0.0680921109297801,0
